№ в ГТИБД,Название,Класс,Кол-во комнат,Кол-во спальных мест,Адрес,Район,Телефоны,Факсы,Официальный сайт,Электронная почта,Примечания,Услуги,Координаты
19071,УЮТ на Куйбышева 20,хостел,4,24,"Санкт-Петербург, ул. Куйбышева, д.20, кв.6",Петроградский,88126120574.0,нет,http://www.yutspb.ru/,yutno.vsem@gmail.com,"Хостелы сети УЮТ расположены в Центральных районах Санкт Петербурга в пешей близости от метро
У нас лучшее соотношение цена/качество в городе, Вы получаете больше за те же деньги!","К услугам гостей:
Официальная временная регистрация
Бесплатный WI-FI в каждом номере
Регулярная уборка
Компьютеры для общего пользования
Гардеробная и система хранения одежды
Постоянный контроль комфортной среды для проживающих
Удобные кровати с ортопедическими матрасами
Круглосуточный доступ
Хостелы находятся под охраной","59.955881,30.328786"
19072,УЮТ на Куйбышева 23,хостел,4,30,"Санкт-Петербург, ул. Куйбышева, д.23, кв.29",Петроградский,88126120574.0,нет,http://www.yutspb.ru/,yutno.vsem@gmail.com,"Хостелы сети УЮТ расположены в Центральных районах Санкт Петербурга в пешей близости от метро
У нас лучшее соотношение цена/качество в городе, Вы получаете больше за те же деньги!","К услугам гостей:
Официальная временная регистрация
Бесплатный WI-FI в каждом номере
Регулярная уборка
Компьютеры для общего пользования
Гардеробная и система хранения одежды
Постоянный контроль комфортной среды для проживающих
Удобные кровати с ортопедическими матрасами
Круглосуточный доступ
Хостелы находятся под охраной","59.956557,30.331508"
19073,УЮТ на Лейтенанта Шмидта 13,хостел,3,16,"Санкт-Петербург, набережная Лейтенанта Шмидта, д.13, кв.18",Василеостровский,88126120574.0,нет,http://www.yutspb.ru/,yutno.vsem@gmail.com,"Хостелы сети УЮТ расположены в Центральных районах Санкт Петербурга в пешей близости от метро
У нас лучшее соотношение цена/качество в городе, Вы получаете больше за те же деньги!","К услугам гостей:
Официальная временная регистрация
Бесплатный WI-FI в каждом номере
Регулярная уборка
Компьютеры для общего пользования
Гардеробная и система хранения одежды
Постоянный контроль комфортной среды для проживающих
Удобные кровати с ортопедическими матрасами
Круглосуточный доступ
Хостелы находятся под охраной","59.935692,30.282073"
19074,УЮТ на Литейном 64,хостел,7,28,"Санкт-Петербург, Литейный пр. д.64/78, кв.32",Центральный,88126120574.0,нет,http://www.yutspb.ru/,yutno.vsem@gmail.com,"Хостелы сети УЮТ расположены в Центральных районах Санкт Петербурга в пешей близости от метро
У нас лучшее соотношение цена/качество в городе, Вы получаете больше за те же деньги!","К услугам гостей:
Официальная временная регистрация
Бесплатный WI-FI в каждом номере
Регулярная уборка
Компьютеры для общего пользования
Гардеробная и система хранения одежды
Постоянный контроль комфортной среды для проживающих
Удобные кровати с ортопедическими матрасами
Круглосуточный доступ
Хостелы находятся под охраной","59.933099,30.348423"
19075,УЮТ на Малом 37,хостел,3,16,"Санкт-Петербург, Малый проспект ВО, д.37, кв.3",Василеостровский,88126120574.0,нет,http://www.yutspb.ru/,yutno.vsem@gmail.com,"Хостелы сети УЮТ расположены в Центральных районах Санкт Петербурга в пешей близости от метро
У нас лучшее соотношение цена/качество в городе, Вы получаете больше за те же деньги!","К услугам гостей:
Официальная временная регистрация
Бесплатный WI-FI в каждом номере
Регулярная уборка
Компьютеры для общего пользования
Гардеробная и система хранения одежды
Постоянный контроль комфортной среды для проживающих
Удобные кровати с ортопедическими матрасами
Круглосуточный доступ
Хостелы находятся под охраной","59.945067,30.266973"
19076,УЮТ на Мытнинской 5,хостел,4,18,"Санкт-Петербург, Мытнинская ул., д.5/2, кв.45",Центральный,88126120574.0,нет,http://www.yutspb.ru/,yutno.vsem@gmail.com,"Хостелы сети УЮТ расположены в Центральных районах Санкт Петербурга в пешей близости от метро
У нас лучшее соотношение цена/качество в городе, Вы получаете больше за те же деньги!","К услугам гостей:
Официальная временная регистрация
Бесплатный WI-FI в каждом номере
Регулярная уборка
Компьютеры для общего пользования
Гардеробная и система хранения одежды
Постоянный контроль комфортной среды для проживающих
Удобные кровати с ортопедическими матрасами
Круглосуточный доступ
Хостелы находятся под охраной","59.932743,30.376909"
19077,УЮТ на Мытнинской 5,хостел,4,18,"Санкт-Петербург, Мытнинская ул., д.5/2, кв.45",Центральный,88126120574.0,нет,http://www.yutspb.ru/,yutno.vsem@gmail.com,"Хостелы сети УЮТ расположены в Центральных районах Санкт Петербурга в пешей близости от метро
У нас лучшее соотношение цена/качество в городе, Вы получаете больше за те же деньги!","К услугам гостей:
Официальная временная регистрация
Бесплатный WI-FI в каждом номере
Регулярная уборка
Компьютеры для общего пользования
Гардеробная и система хранения одежды
Постоянный контроль комфортной среды для проживающих
Удобные кровати с ортопедическими матрасами
Круглосуточный доступ
Хостелы находятся под охраной","59.932743,30.376909"
19079,УЮТ на Съезжинской 33,хостел,3,26,"Санкт-Петербург, ул. Съезжинская, д.33, кв.10",Петроградский,88126120574.0,нет,http://www.yutspb.ru/,yutno.vsem@gmail.com,"Хостелы сети УЮТ расположены в Центральных районах Санкт Петербурга в пешей близости от метро
У нас лучшее соотношение цена/качество в городе, Вы получаете больше за те же деньги!","К услугам гостей:
Официальная временная регистрация
Бесплатный WI-FI в каждом номере
Регулярная уборка
Компьютеры для общего пользования
Гардеробная и система хранения одежды
Постоянный контроль комфортной среды для проживающих
Удобные кровати с ортопедическими матрасами
Круглосуточный доступ
Хостелы находятся под охраной","59.953863,30.304433"
19080,УЮТ Петергоф,хостел,25,149,"Санкт-Петербург, г. Петергоф, Гостилицкое ш., д. 137, лит. А",Петродворцовый,8 (812) 677-66-24,нет,www.piteravto.ru,terehinaNN@hosteluyut.ru,не указано,не указано,"59.866161,29.80046"
19081,УЮТ Революции,хостел,38,242,"Санкт-Петербург, ш. Революции, д. 58, лит. В, Ж",Красногвардейский,8 (812) 677-66-24,нет,www.piteravto.ru,terehinaNN@hosteluyut.ru,не указано,не указано,"59.961061,30.442593"
19082,УЮТ Салова,хостел,25,152,"Санкт-Петербург, ул. Салова, д. 48, лит. А",Фрунзенский,8 (812) 677-66-24,нет,www/piteravto.ru,terehinaNN@hosteluyut.ru,не указано,не указано,"59.891746,30.389656"
19083,УЮТ,хостел,7,28,"Санкт-Петербург, ул. Псковская, д.11 пом. 6-Н лит. А",Адмиралтейский,89046472992.0,нет,,kika_m.79@mail.ru,не указано,не указано,"59.920704,30.283655"
19084,Фрегат,хостел,8,44,"Санкт-Петербург, набережная реки Фонтанки, д. 97, лит. А, пом. 12Н",Адмиралтейский,7 (952) 288-41-57,нет,https://vk.com/club2061572,hostel-fregat@yandex.ru,не указано,"Общие
Отель для некурящих
Питание и напитки
Доставка еды и напитков в номер
Разное
Номера для некурящихОтопление
Услуги уборки
ПрачечнаяУслуги по глажению одежды
Стойка регистрации
СейфЭкскурсионное бюроУслуги консьержа
Зоны общественного пользования
Общая кухня","59.92387,30.322075"
19085,Фрустайл,хостел,4,16,"Санкт-Петербург, ул. 4-ая Советская, д. 20",Центральный,7(911)923-24-04,нет,https://vk.com/frustylehostel,yal-elena@yandex.ru,"Уютный хостел в центре Санкт-Петербурга!
Хостел FruStyle (ФруСтайл) находится в пяти минутах от метро Площадь Восстания и Московского вокзала.","У нас есть жилье на любой вкус от удобных койко-местах до семейного номера, так же есть Двухместный номер эконом-класса
Бесплатная зона wi-fi по всему Хостелу","59.933361,30.37062"
19086,Хостелы Рус – Садовая / Белые ночи,хостел,5,27,"Санкт-Петербург, ул.Казанская, д.56",Адмиралтейский,89816896401.0,нет,www.hostelsrus-sadovaya.ru,hostelssadovaya@gmail.com,"Хостел «Белые ночи на Садовой» расположен в Санкт-Петербурге, в 700 м от Мариинского театра. К услугам гостей общий лаундж и номера с бесплатным Wi-Fi. Хостел находится в Адмиралтейском районе, в 700 м от Исаакиевского собора и в 1,1 км от здания Адмиралтейства. Дворцовая площадь находится в 16 минутах ходьбы от хостела.
В каждом номере хостела установлен шкаф. Из некоторых номеров хостела «Белые ночи на Садовой» открывается вид на город. Гости пользуются общей ванной комнатой. В номерах обустроена гостиная зона.
Среди популярных достопримечательностей рядом с хостелом «Белые ночи на Садовой» — Эрмитаж, храм Спаса на Крови и Государственный Русский музей.",Номера для некурящих Трансфер от/до аэропорта Бесплатный Wi-Fi Семейные номера Круглосуточная стойка регистрации,"59.927608,30.306948"
19087,Эверест,хостел,6,28,"Санкт-Петербург, ул. Большая Морская, 31, пом. 17-Н",Адмиралтейский,89522064821.0,нет,https://vk.com/everest_hostel,Everesthostel16@gmail.com,Хостел EveRest – это высокое качество отдыха по доступной цене в самом центре Санкт-Петербурга! Мы изменим Ваше представление о хостелах!,"Ежедневная уборка. У нас чисто!
Кровати с личным пространством, индивидуальные сейфовые ячейки. У нас комфортно!
Качественный ремонт и большая общая зона. У нас красиво!
Круглосуточный доступ в хостел, функциональная кухня. С нами удобно!
Бесплатные wi-fi и чай, фен и утюг, домашняя атмосфера. У нас уютно!","59.933658,30.311394"
19088,ЭКОНОМЪ,хостел,6,48,"Санкт-Петербург, Большой Казачий пер., д. 6, лит. А, помещение 1-Н",Адмиралтейский,8 (812) 458-80-02,нет,economspb.com,info@economspb.com,"Сеть общежитий «ЭКОНОМЪ» - это недорогие общежития квартирного типа, расположенные в разных районах Санкт-Петербурга.
«ЭКОНОМЪ» общежития СПб представляют собой квартиры, где за минимальную цену в чистых и уютных комнатах с комфортом могут разместиться: 
- Приезжие рабочие;
- Сотрудники компаний;
- Иногородние студенты;
- Туристы.","Сеть общежитий «ЭКОНОМЪ» предлагает услуги по размещению гостей в недорогих общежитиях Петербурга:
- Посуточно;
- На длительный срок.","59.923081,30.327995"
19089,Электрик,хостел,9,69,"Санкт-Петербург, Литейный пр-кт, д.61 кв.9",Центральный,88126120574.0,нет,http://www.yutspb.ru/,yutno.vsem@gmail.com,"Хостелы сети УЮТ расположены в Центральных районах Санкт Петербурга в пешей близости от метро
У нас лучшее соотношение цена/качество в городе, Вы получаете больше за те же деньги!","К услугам гостей:
Официальная временная регистрация
Бесплатный WI-FI в каждом номере
Регулярная уборка
Компьютеры для общего пользования
Гардеробная и система хранения одежды
Постоянный контроль комфортной среды для проживающих
Удобные кровати с ортопедическими матрасами
Круглосуточный доступ
Хостелы находятся под охраной","59.933677,30.347507"
19090,HI LOFT HOSTEL,хостел,6,36,"Санкт-Петербург, улица Захарьевская, дом 14, литера А, помещение 7Н",Центральный,8 (910) 542 41 05,нет,https://hiloft.ru/,grelena7@yandex.ru,не указано,не указано,"59.947942,30.358781"
19091,Solo Адмирал,хостел,0,0,"Санкт-Петербург, Литейный проспект, д.64/78, лит.А, пом.20",Центральный,8 (812) 438-03-26,нет,www.solo-hotel.com,solo-hotel@mail.ru,"Хостел «Соло Адмирал» относится к знаменитой Сети «Соло», поэтому придется по вкусу каждому гостю качеством своего обслуживания.
Номерной фонд представлен несколькими категориями, в которых гости могут снять как койко-место, так и целый номер на несколько человек. Удобств в номерах нет, они находятся на этаже для общего пользования.
Также хостел «Соло Адмирал» может предложить общую кухню, на которой есть вся необходимая бытовая техника, которая может понадобиться для приготовления.","Сервисы
Круглосуточная стойка регистрации
Интернет
Wi-Fi БЕСПЛАТНО
Кухня
Общая кухня","59.933099,30.348423"
19092,Ковчег,хостел,18,120,"Санкт-Петербург, ул. Пионерская , д.47 А",Петроградский,7 (911) 929-15-05,нет,kovchegbooking.ru/,kovcheg_hostel@mail.ru,"Трехэтажное отдельно стоящее здание в 5 минутах от метро Чкаловская.
Только мужское размещение.
Общежитие для рабочих бригад, сотрудников транспортных, аутсорсинговых и торговых компаний.","Душ, туалет и санузлы на этаже.
Две кухни, с необходимым оборудованием.","59.959886,30.285424"
19093,Хостел на Английском,хостел,18,186,"Санкт-Петербург, Английский проспект, дом 30, литера Б",Адмиралтейский,88123220641.0,нет,нет,arendabooh@mail.ru,не указано,не указано,"59.923351,30.28634"
19094,Хостел на Кожевенной 30,хостел,16,120,"Санкт-Петербург, Кожевенная линия, дом 30, литер А",Василеостровский,88123220641.0,нет,нет,arendabuh@mail.ru,не указано,не указано,"59.922134,30.25004"
19095,Хостел на Кожевенной 34,хостел,4,24,"Санкт-Петербург, Кожевенная линия, дом 34, литера А",Василеостровский,88123220641.0,нет,нет,arendabuh@mail.ru,не указано,не указано,"59.923739,30.244254"
19096,Пансионат Репино,средство размещения,67,142,"Санкт-Петербург, п. Репино, Приморское шоссе, д. 394, корп.1, лит.А",Курортный,8 (812) 380-21-30,нет,www.pansionat-repino.ru,reservation@repinospb.ru,не указано,не указано,"60.157974,29.884964"
19097,Дом творчества,дом отдыха,9,18,"Санкт-Петербург, ул.Колодезная, д. 1/3",Приморский,+7 (812) 318-77-61,нет,нет,domolgino@mail.ru,не указано,не указано,"59.996834,30.146805"
19098,Сестрорецкий курорт,СР,454,908,"Санкт-Петербург, г. Сестрорецк, ул. М.Горького, д. 2",Курортный,8 (812) 434-17-00,нет,www.kurort.ru,info@kurort.ru,Территория здорового отдыха в получасе езды от Петербурга,"лечение 
разлечения
бассейн","60.113898063937086,29.950576999999985"
19195,Реабилитационный центр Спутник в Комарово,Реабилитационный центр,60,120,"ул. Осипенко, 5",,8 (800) 707-09-31,нет,https://sputnik-komarovo.ru/,info@sputnik-komarovo.ru,"Все началось с личного опыта. Мы искали место, где близкие люди могли бы пройти курс реабилитации. И где были бы не только замечательные врачи, но и новейшее оборудование, отличные бытовые условия, профессиональный уход. В этот момент и возникла идея создать оздоровительно-реабилитационный центр нового поколения.","опытные врачи и заботливые реабилитационные медсестры;
современные европейские и израильские методики оздоровления и реабилитации;
индивидуальные программы реабилитации после инсульта и инфаркта, черепно-мозговых травм, операций на сердце и ортопедических операций;
все возможности для активной и ранней реабилитации;
индивидуальные занятия и процедуры в лечебных и оздоровительных программах для каждого пациента;
наиболее результативный мультидисциплинарный подход к реабилитации (скоординированная работа бригады специалистов разного профиля);
современное оборудование для роботизированной механотерапии, комнаты-тренажеры;
максимально комфортные условия проживания;
чистый сосновый воздух легендарного дачного поселка.","59.947982,30.482991"
19196,X-Clinic,клиника адаптационной медицины,75,0,"Приморское ш., 426",,8 (800) 444-42-48,нет,https://x-clinic.ru/,info@x-clinic.ru,"Сочетая традиционную медицину и уникальный, интегративный подход, мы покажем вам, что тело человека способно на большее.",Лечебные оздоровительные программы - 7-14 дней Программа UpGrade BODY & MIND Программа Health Care Программа Health Care Intensive Программа медицинской реабилитации «Легочная реабилитация»,"60.163423,29.857386"
19197,Санаторий Чёрная речка,Санаторий,190,490,"Приморское ш., 648",,+7 (812) 679-95-25,нет,https://www.cardiokurort.ru/,info@cardiokurort.ru kartava29@mail.ru,Санаторий «Черная речка» создан в 1958 году. Мы стояли у истоков кардиологической реабилитации в нашей стране. Наш опыт признан успешным Европейской Ассоциацией Кардиологической Профилактики и Реабилитации (ESC).,"Реабилитация после пневмонии и заболеваний легких
 
Кардиологическая диагностика и лечение
 
Отдых в Курортном отеле
 
Санаторно-курортное лечение
 
Стационарное лечение
 
Реабилитация
 
Кардиология и артериальная гипертензия
 
Лечение сахарного диабета 2 типа
 
Коррекция холестерина
 
Лечение остеохондроза
 
Программа снижения веса
 
Программа преодоления стресса
 
Лечение храпа и остановки дыхания
 
Программы выходного дня
 
Релакс + техосмотр
 
Оздоровительный отдых","60.19462,29.534352"
19198,Дюны,санаторий,110,220,"Заречная дорога, 1А",,+7 (812) 407-17-17,нет,https://dunes-spb.ru/,kurort@dunes.spb.ru,"Санаторий «Дюны» в Сестрорецке — лауреат «Золотой Книги Санкт-Петербурга» и премии правительства Санкт-Петербурга по качеству за 2011 год, основан в 1979 году как элитный реабилитационный центр больницы Ленинградского обкома КПСС. Санаторий и сейчас сохраняет традиции высокого качества партийно-номенклатурной медицины.","Консультация кардиолога
Консультация терапевта
Консультация травматолога-ортопеда
RedCord & Neurac
GYROTONIC
Массаж
Водолечение
Грязелечение
Лечебная физкультура
Кинезиотейпирование
Ударно-волновая терапия
Коррекция пищевого поведения
Мануальная терапия
Механотерапия
Гирудотерапия
Термальные процедуры
Паравертебральные блокады
Стоматология
Электромиостимуляция
Озонотерапия
Карбокситерапия
Парикмахерская
Маникюр
Педикюр
Косметология
Электростимуляция по методу А.А. Герасимова
Метод доктора Рейнхольда Фолля
Пантовые ванны
Остеопатия
Парафанго
Прессотерапия или лимфодренажный массаж
Стоун-терапия
Талассотерапия обёртывание водорослями
Тракционная релаксация
Магнитотерапия
Локальная криотерапия
Лазеротерапия
Иглорефлексотерапия
Галотерапия
Биологическая обратная связь
Физиотерапия
Функциональная диагностика
Консультация кардиолога
Консультация кардиолога
Врачи санатория - команда профессионалов высокого уровня

Консультация терапевта
Консультация терапевта
Врачи санатория - команда профессионалов высокого уровня

Консультация травматолога-ортопеда
Консультация травматолога-ортопеда
Врачи санатория - команда профессионалов высокого уровня

RedCord & Neurac
RedCord & Neurac
Новое слово в реабилитации ортопедических пациентов

GYROTONIC
GYROTONIC
Тонкая работа с мышцами

Массаж
Массаж
Водолечение
Водолечение
Грязелечение
Грязелечение
Лечебная физкультура
Лечебная физкультура
Кинезиотейпирование
Кинезиотейпирование
Ударно-волновая терапия
Ударно-волновая терапия
Коррекция пищевого поведения
Коррекция пищевого поведения
Мануальная терапия
Мануальная терапия
Механотерапия
Механотерапия
Гирудотерапия
Гирудотерапия
Термальные процедуры
Термальные процедуры
Паравертебральные блокады
Паравертебральные блокады
Стоматология
Стоматология
Электромиостимуляция
Электромиостимуляция
Озонотерапия
Озонотерапия","60.123039,29.948825"
19199,СПб ГБУЗ Детский санаторий Солнечное,санаторий,500,1450,"2-я Боровая ул., 6",,+7 (812) 246-12-12,нет,https://solsankinder.ru/,sansolnkinder@zdrav.spb.ru,"Полное название санатория: Санкт-Петербургское Государственное Бюджетное Учреждение Здравоохранения ""Детский санаторий ""Солнечное""
Краткое название санатория: СПб ГБУЗ ""Детский санаторий ""Солнечное""
Режим и график работы санатория – ежедневно и круглосуточно
График работы и часы приема медицинских работников – по будним дням с 9.00 до 17.30","ГАСТРО​ЭНТЕРО​ЛОГИЯ
ПСИХО​НЕВРО​ЛОГИЯ
НЕФРО​ЛОГИЯ
ПУЛЬМО​НО​ЛОГИЯ
ОНКО​ЛОГИЯ","60.143042,29.942654"
19200,Архитектура здоровья,Центр терапевтического голодания,22,50,"Курортная ул., 24, лит.Б",,+7 (812) 985-30-79,нет,http://health-architecture.com/,fnx.llc@gmail.com,"В нашем Центре вы сможете укрепить этот фундамент, заново почувствовать радость жизни, наполниться новой энергией и здоровьем.
Многолетняя практика и опыт тысячи людей, прошедших терапевтическое голодание по методу И.П. Неумывакина, позволяют нам с уверенностью гарантировать то, что вам станет лучше после посещения нашего Центра. Мы для этого приложим все наши силы и наш профессионализм!",Терапевтическое голодание по методу профессора И.П.Неумывакина Психологическое сопровождение. Программа «Лучшая версия себя»  Физические и физиологические процедуры,"60.184891,29.786446"
19201,Западный,Санатории,272,544,"Тарховский просп., 24",,+7 (812) 437-18-06,нет,http://skkzapad.ru/,skk_zap_orp@mil.ru,"Санатории комплекса предлагают лечение: системы кровообращения, заболевания костно-мышечной системы, опорно-двигательного аппарата, периферической нервной системы, болезней органов дыхания нетуберкулезного характера и болезни органов пищеварения.","Регистрация ЭКГ
с расшифровкой Общий
(клинический)
анализ крови Определение
уровня глюкозы
крови","60.070289,29.97396"
19202,Северная Ривьера,санаторий,200,450,"Приморское ш., 570",,+7 (812) 433-57-30,нет,https://kurortriviera.ru/,expert@kurortriviera.ru,"В настоящее время санаторий «Северная Ривьера», как многопрофильное лечебно -профилактическое медицинское учреждение ‚ стал настоящей клинической базой Северо-Западного медицинского университета им. Мечникова. Весь медицинский персонал представлен врачами высшей категории, профессорами, кандидатами и докторами медицинских наук.","Медицинские услуги санатория
Консультация врача
Профессора, доктора медицинских наук
Врач высшей категории (невролог,кардиолог, травматолог)
Врач 1-ой категории
Врач 2-ой категории
Консультация психолога
Психологический тренинг
Консультация врача гирудотерапии
(+клинический анализ крови)
Консультация логопеда
Занятия логопеда

Обследование при поступлении в санаторий

Иглорефлексотерапия

Физиотерапевтическое лечение
Аэрофитотерапия
Электрофорез
Д,Арсенвализация
Ингаляции масляные, лекарственными средствами и солями Мертвого моря
Лазеротерапия
Облучение ультрафиолетовое коротковолновое
Электросон
Терапия микроволновая (ДМВ)

Терапия сантиметровая (СМВ)
УВЧ-терапия
Фонофорез
Электролечение диадинамическими токами (ДДТ)
4-х камерные ванны
2-х камерные ванны
Амплипульс
Вакуум-массаж одной зоны
Магнитотерапия
Пневмомассаж
Светодиодная терапия «Спектр»
Миостимуляция на аппарате «Миоритм»
Миостимуляция на аппарате «Эсма»
Миостимуляция на аппарате «Миоритм» одной конечности верхней или нижней
Транскарниальная электростимуляция
Электрофорез с лекарственными веществами

Водолечение
Грязелечение
Аппликация озокеритовая малая
Гальваногрязелечение
Грязевая ванна
Грязевая апликация на суставы:
Комплексная грязевая апликация на все суставы
Массаж взрослый :
Массаж детский:
Орторелаксация
Ультразвуковое исследование
Исследование ультразвуковое щитовидной железы, молочных желез
Функциональная диагностика
Процедурный кабинет

Кабинет галотерапии

Аутогенная тренировка ( музыкотерапия)

Подготовительная клизма

Криотерапия
Локальная криотерапия на суставы:
Лечебная гимнастика
Гирудотерапия","60.191883,29.663943"
19203,Грязелечебница,,,,"ул. Максима Горького, 2Д",,нет информации,нет,нет информации,нет информации,нет информации,,
19204,Белое солнце,ПАНСИОНАТ,62,116,"Приморское ш., 511",,+7 (812) 640-35-34,нет,http://beloe-solnce.bests.ru/,beloe-solnce@bests.ru,"Пансионат «Белое солнце» находится в ведении Федеральной таможенной службы и является профилактическим государственным учреждением, созданным для оздоровительного отдыха должностных лиц и пенсионеров таможенной службы, а также членов их семей.
Государственное казенное учреждение «Пансионат «Белое солнце» ФТС России» расположен в г. Зеленогорске, на берегу Финского залива, в чудесной лесопарковой зоне. К услугам отдыхающих все возможности Балтийского климатического курорта, сосновый лес, отсутствие промышленных предприятий, близость Финского залива. Зеленогорский лесопарк отделяет курортную зону от прохладных ветров, что создает изумительный микроклимат в этом районе и делает его мягким, солнечным и нежарким в летнее время, а в зимнее — умеренно прохладным.","включает в себя водолечебницу, солярий, массажные кабинеты, физиотерапевтический комплекс, кабинеты функциональной диагностики, кабинет со SPA-капсулой, кабинет для отпуска кислородного коктейля. Работает пункт проката культ- и спортинвентаря.","60.189423,29.745384"
19205,Белые ночи,санаторий,290,0,"Приморское шоссе, 38-й километр, 2",,8 (800) 200-11-41,нет,https://white-nights.ru/,sale-wn@sogaz-clinic.ru,"Санкт-Петербург,
38-й км Приморского шоссе, д. 2 
Режим работы: Ежедневно с 08:30 до 20:00",Баротерапия: комплексное лечение кислородом Комплексная программа «Подарок родителям» VENUS VIVA: уникальная методика омоложения Бальнеотерапия в санатории,"60.119413,29.952041"
19206,СПб ГБУЗ Детский санаторий-реабилитационный центр Детские дюны,санаторий,150,374,"Лесная ул., 7",,+7 (812) 246-31-38,нет,http://www.detdune.ru/,,"В учреждении трудятся врачи, компетентные в большинстве разделов педиатрии, имеющие специальную подготовку по восстановительному лечению. Все врачи имеют сертификаты специалиста, 80% - квалификационную категорию, в т.ч. 65% врачей имеют высшую и первую квалификационную категорию, работают 4 кандидата медицинских наук.","В санатории имеется возможность обеспечить комплексную реабилитацию, включающую в себя оказание медицинской помощи, психологическое изучение личности и коррекцию, восстановление социального статуса с проведением учебно-воспитательной работы на высоком уровне.","60.108365,29.958132"
19207,Коттедж № 17,,,,"Россия, Ленинградская область, Выборгский район, Первомайское сельское поселение",,нет информации,нет,нет информации,нет информации,нет информации,,
19209,Детский туберкулезный санаторий жемчужина,санаторий,150,300,"Пляжевая ул., 10",,+7 (812) 433-40-27,нет,http://guzdtszh.kzdrav.gov.spb.ru/,sanpearl@zdrav.spb.ru,"Наше Учреждение – это специализированное государственное медицинское учреждение, деятельность которого направлена на оказание санаторно-курортной, реабилитационной помощи детям с заболеванием туберкулёзом, а также на  профилактику туберкулёза у детей.","Лечение и обследование по профилю санатория (рентгенография, томография, осмотр и лечение врача-фтизиатра)
Клинико-лабораторная диагностика (общеклинические и биохимические исследования крови, анализы мочи, иммунологическое обследование, бактериологическое исследование, определение вида возбудителя инфекции и его чувствительность к антибактериальным препаратам)
Лечебная физкультура (механотерапия, терренкуры, осмотр и консультация врача-ортопеда)
Лечебный массаж (ручной массаж, массажное кресло со специальными псевдо активными зонами)
Осмотр, консультация  и лечение  врача-стоматолога
Осмотр, консультация  и лечение  врача-окулиста
Ультразвуковые исследования
Физиотерапевтическое лечение (осмотр, консультация и лечение врача-физиотерапевта, электролечение, магнито-лазерная терапия, аэрофитолечение, ингаляции лекарственных препаратов и лекарственных трав, кислородные коктейли, электросон, солярий)
Медикаментозное лечение в соответствии с диагнозом под контролем лабораторного исследования
Курс закаливания под руководством опытных врачей по специальным индивидуальным программам.
Лечебное питание . В учреждении собственный пищеблок. Питание по профилю санатория - 6-ти разовое высокобелковое, богатое витаминами. В ежедневный рацион детей включено большое количество свежих овощей и фруктов, пиливитаминные напитки. Для детей с аллергией и атопией разработан вариант гипоаллергенной диеты.","60.082077,30.294264"
